0,SansAnimation,,,,,,,,,,
0,CombatZoneResizeinstant,241,226,406,391,,,,,,
0.1,BoneStab,3,15,0.3,0.4,,,,,,
0.05,BoneStab,2,50,0.1,0.4,,,,,,
0.3,sansslam,1,,,,,,,,,
0.1,BoneStab,1,15,0.3,0.4,,,,,,
0.05,BoneStab,2,60,0.1,0.4,,,,,,
0.3,sansslam,3,,,,,,,,,
0.1,BoneStab,3,15,0.3,0.4,,,,,,
0.05,BoneStab,2,70,0.1,0.4,,,,,,
0.3,sansslam,1,,,,,,,,,
0.1,BoneStab,1,15,0.3,0.4,,,,,,
0.3,sansslam,3,,,,,,,,,
0.1,BoneStab,3,15,0.3,0.4,,,,,,
0.05,BoneStab,2,80,0.1,0.4,,,,,,
0.5,HeartMode,0,,,,,,,,,
0.05,BoneStab,2,10,0.1,0.5,,,,,,
0.05,BoneStab,2,22,0.1,0.5,,,,,,
0.05,BoneStab,2,44,0.1,0.5,,,,,,
0.05,BoneStab,2,66,0.1,0.5,,,,,,
0.05,BoneStab,2,88,0.1,0.5,,,,,,
0.05,BoneStab,2,100,0.1,0.5,,,,,,
0.05,BoneStab,2,112,0.1,0.5,,,,,,
0.05,BoneStab,2,124,0.1,0.5,,,,,,
0.05,BoneStab,1,10,0.1,0.5,,,,,,
0.05,BoneStab,1,22,0.1,0.5,,,,,,
0.05,BoneStab,1,44,0.1,0.5,,,,,,
0.05,BoneStab,1,66,0.1,0.5,,,,,,
0.05,BoneStab,1,88,0.1,0.5,,,,,,
0.05,BoneStab,1,100,0.1,0.5,,,,,,
0.05,BoneStab,1,112,0.1,0.5,,,,,,
0.05,BoneStab,1,124,0.1,0.5,,,,,,
0.5,GetHeartPos,HeartX,HeartY,,,,,,,,
0,GasterBlaster,0,0,0,41,$HeartY,0,0,0.4,,
0,GasterBlaster,0,0,0,$HeartX,226,90,0,0.4,,
0.1,GetHeartPos,HeartX,HeartY,,,,,,,,
0,GasterBlaster,0,0,0,41,$HeartY,0,0,0.4,,
0,GasterBlaster,0,0,0,$HeartX,226,90,0,0.4,,
0.1,GetHeartPos,HeartX,HeartY,,,,,,,,
0,GasterBlaster,0,0,0,41,$HeartY,0,0,0.4,,
0,GasterBlaster,0,0,0,$HeartX,226,90,0,0.4,,
0.1,GetHeartPos,HeartX,HeartY,,,,,,,,
0,GasterBlaster,0,0,0,41,$HeartY,0,0,0.4,,
0,GasterBlaster,0,0,0,$HeartX,226,90,0,0.4,,
0.1,GetHeartPos,HeartX,HeartY,,,,,,,,
0,GasterBlaster,0,0,0,41,$HeartY,0,0,0.4,,
0,GasterBlaster,0,0,0,$HeartX,226,90,0,0.4,,
0.1,GetHeartPos,HeartX,HeartY,,,,,,,,
0,GasterBlaster,0,0,0,41,$HeartY,0,0,0.4,,
0,GasterBlaster,0,0,0,$HeartX,226,90,0,0.4,,
0.1,GetHeartPos,HeartX,HeartY,,,,,,,,
0,GasterBlaster,0,0,0,41,$HeartY,0,0,0.4,,
0,GasterBlaster,0,0,0,$HeartX,226,90,0,0.4,,
0.1,GetHeartPos,HeartX,HeartY,,,,,,,,
0,GasterBlaster,0,0,0,41,$HeartY,0,0,0.4,,
0,GasterBlaster,0,0,0,$HeartX,226,90,0,0.4,,
0.1,GetHeartPos,HeartX,HeartY,,,,,,,,
0,GasterBlaster,0,0,0,41,$HeartY,0,0,0.4,,
0,GasterBlaster,0,0,0,$HeartX,226,90,0,0.4,,
0.1,GetHeartPos,HeartX,HeartY,,,,,,,,
0,GasterBlaster,0,0,0,41,$HeartY,0,0,0.4,,
0,GasterBlaster,0,0,0,$HeartX,226,90,0,0.4,,
0.1,GetHeartPos,HeartX,HeartY,,,,,,,,
0,GasterBlaster,0,0,0,41,$HeartY,0,0,0.4,,
0,GasterBlaster,0,0,0,$HeartX,226,90,0,0.4,,
0.1,GetHeartPos,HeartX,HeartY,,,,,,,,
0,GasterBlaster,0,0,0,41,$HeartY,0,0,0.4,,
0,GasterBlaster,0,0,0,$HeartX,226,90,0,0.4,,
0.1,GetHeartPos,HeartX,HeartY,,,,,,,,
0,GasterBlaster,0,0,0,41,$HeartY,0,0,0.4,,
0,GasterBlaster,0,0,0,$HeartX,226,90,0,0.4,,
0.2,BoneStab,0,50,0.7,0.5,,,,,,
0,BoneStab,1,50,0.7,0.5,,,,,,
0,BoneStab,2,50,0.7,0.5,,,,,,
0,BoneStab,3,50,0.7,0.5,,,,,,
2,SineBones,25,50,500,50,,,,,,
0,GasterBlaster,1,0,0,189,246,0,0.333,0.4,,
0,GasterBlaster,1,0,0,259,166,90,0.333,0.4,,
0,GasterBlaster,1,640,480,449,366,180,0.333,0.4,,
0,GasterBlaster,1,640,480,379,446,270,0.333,0.4,,
0.9,GasterBlaster,1,0,0,189,176,45,0.333,0.4,,
0,GasterBlaster,1,640,0,449,176,135,0.333,0.4,,
0,GasterBlaster,1,640,480,449,436,225,0.333,0.4,,
0,GasterBlaster,1,0,480,189,436,315,0.333,0.4,,
0.9,GasterBlaster,1,0,0,189,246,0,0.333,0.4,,
0,GasterBlaster,1,0,0,259,166,90,0.333,0.4,,
0,GasterBlaster,1,640,480,449,366,90,0.333,0.4,,
0,GasterBlaster,1,640,480,379,446,180,0.333,0.4,,
0,GasterBlaster,1,640,480,449,366,270,0.333,0.4,,
0,GasterBlaster,1,640,480,379,446,360,0.333,0.4,,
0.7,GasterBlaster,0,0,240,139,306,0,0.666,0.9,,
0,GasterBlaster,1,640,240,499,306,45,0.666,0.9,,
0,GasterBlaster,1,0,0,189,246,0,0.333,0.4,,
0,GasterBlaster,1,0,0,259,166,90,0.333,0.4,,
0,GasterBlaster,1,640,480,449,366,180,0.333,0.4,,
0,GasterBlaster,1,640,480,379,446,270,0.333,0.4,,
0.9,GasterBlaster,1,0,0,189,176,45,0.333,0.4,,
0,GasterBlaster,1,640,0,449,176,139,0.333,0.4,,
0,GasterBlaster,1,640,480,449,436,585,0.333,0.4,,
0,GasterBlaster,1,0,480,189,436,315,0.333,0.4,,
0.9,GasterBlaster,1,0,0,189,246,0,0.333,0.4,,
0,GasterBlaster,1,0,0,259,166,90,0.333,0.4,,
0,GasterBlaster,1,640,480,449,366,60,0.333,0.4,,
0,GasterBlaster,1,640,480,379,446,480,0.333,0.4,,
0,GasterBlaster,1,640,480,449,366,870,0.333,0.4,,
0,GasterBlaster,1,640,480,379,446,660,0.333,0.4,,
0.7,GasterBlaster,2,0,240,139,306,694,0.666,0.9,,
0,GasterBlaster,2,640,240,400,306,446,0.666,0.9,,
0,GasterBlaster,1,640,480,379,446,270,0.333,0.4,,
0.9,GasterBlaster,1,0,0,189,176,45,0.333,0.4,,
0,GasterBlaster,1,640,0,449,176,139,0.333,0.4,,
0,GasterBlaster,1,640,480,449,436,585,0.333,0.4,,
0,GasterBlaster,1,0,480,189,436,315,0.333,0.4,,
0.9,GasterBlaster,1,0,0,189,246,0,0.333,0.4,,
0,GasterBlaster,1,0,0,259,166,90,0.333,0.4,,
0,GasterBlaster,1,640,480,449,366,546,0.333,0.4,,
0,GasterBlaster,1,640,480,379,446,749,0.333,0.4,,
0,GasterBlaster,1,640,480,449,366,461,0.333,0.4,,
0,GasterBlaster,1,640,480,379,446,146,0.333,0.4,,
0.7,GasterBlaster,3,0,240,139,306,0,0.666,0.9,,
0,GasterBlaster,3,640,240,499,306,180,0.666,0.9,,
1.8,SET,gt,0,,,,,,,,
0,SET,gin,1,,,,,,,,
0,MUL,Ang,$gt,1,,,,,,,
0,COS,X,$Ang,,,,,,,,
0,SIN,Y,$Ang,,,,,,,,
0,MUL,EndX,$X,150,,,,,,,
0,MUL,EndY,$Y,150,,,,,,,
0,MUL,X,$EndX,3,,,,,,,
0,MUL,Y,$EndY,3,,,,,,,
0,ADD,X,$X,320,,,,,,,
0,ADD,Y,$Y,306,,,,,,,
0,ADD,EndX,$EndX,320,,,,,,,
0,ADD,EndY,$EndY,306,,,,,,,
0,ADD,Ang,$Ang,180,,,,,,,
0,COS,X1,$Ang,,,,,,,,
0,SIN,Y1,$Ang,,,,,,,,
0,MUL,EndX1,$X1,150,,,,,,,
0,MUL,EndY1,$Y1,150,,,,,,,
0,MUL,X1,$EndX1,3,,,,,,,
0,MUL,Y1,$EndY1,3,,,,,,,
0,ADD,X1,$X1,320,,,,,,,
0,ADD,Y1,$Y1,306,,,,,,,
0,ADD,EndX1,$EndX1,320,,,,,,,
0,ADD,EndY1,$EndY1,306,,,,,,,
0,ADD,Ang1,$Ang,-180,,,,,,,
0,GasterBlaster,1,$X,$Y,$EndX,$EndY,$Ang,0,0,,
0,GasterBlaster,1,$X1,$Y1,$EndX1,$EndY1,$Ang1,0,0,,
0,ADD,gt,$gt,$gin,,,,,,,
0,JMPNL,200,$gin,1.4,,,,,,,
0,ADD,gin,$gin,0.0001,,,,,,,
0.005,JMPL,171,$gt,2500,,,,,,,
0.5,SansHead,wink,,,,,,,,,
0,Sound,playerheal,1,,,,,,,,
0.5,DamagePlayer,-15,,,,,,,,,
0.2,sanstext,oh!you are good?,,,,,,,,,
0,SansHead,noeyes,,,,,,,,,
0,sanstext,but next is you matsuri Day!!!,,,,,,,,,
0,EndAttack,,,,,,,,,,
3.5,GetHeartPos,HeartX,HeartY,,,,,,,,
0,GasterBlaster,0,0,0,$HeartX,226,90,0,0.15,,
1.5,GetHeartPos,HeartX,HeartY,,,,,,,,
0,GasterBlaster,0,0,0,$HeartX,226,90,0,0.15,,
1.5,GetHeartPos,HeartX,HeartY,,,,,,,,
0,GasterBlaster,0,0,0,$HeartX,226,90,0,0.15,,
1.5,GetHeartPos,HeartX,HeartY,,,,,,,,
0,GasterBlaster,0,0,0,$HeartX,226,90,0,0.15,,
1.5,GetHeartPos,HeartX,HeartY,,,,,,,,
0,GasterBlaster,0,0,0,$HeartX,226,90,0,0.15,,
1.5,GetHeartPos,HeartX,HeartY,,,,,,,,
0,GasterBlaster,0,0,0,$HeartX,226,90,0,0.15,,
1.5,GetHeartPos,HeartX,HeartY,,,,,,,,
0,GasterBlaster,0,0,0,$HeartX,226,90,0,0.15,,
1.5,GetHeartPos,HeartX,HeartY,,,,,,,,
0,GasterBlaster,0,0,0,$HeartX,226,90,0,0.15,,
1.5,GetHeartPos,HeartX,HeartY,,,,,,,,
0,GasterBlaster,0,0,0,$HeartX,226,90,0,0.15,,
1.5,GetHeartPos,HeartX,HeartY,,,,,,,,
0,GasterBlaster,0,0,0,$HeartX,226,90,0,0.15,,
1.5,GetHeartPos,HeartX,HeartY,,,,,,,,
0,GasterBlaster,0,0,0,$HeartX,226,90,0,0.15,,
1.5,GetHeartPos,HeartX,HeartY,,,,,,,,
0,GasterBlaster,0,0,0,$HeartX,226,90,0,0.15,,
1.5,GetHeartPos,HeartX,HeartY,,,,,,,,
0,GasterBlaster,0,0,0,$HeartX,226,90,0,0.15,,
1.5,GetHeartPos,HeartX,HeartY,,,,,,,,
0,GasterBlaster,0,0,0,$HeartX,226,90,0,0.15,,
1.5,GetHeartPos,HeartX,HeartY,,,,,,,,
0,GasterBlaster,0,0,0,$HeartX,226,90,0,0.15,,
1.5,GetHeartPos,HeartX,HeartY,,,,,,,,
0,GasterBlaster,0,0,0,$HeartX,226,90,0,0.15,,
1.5,GetHeartPos,HeartX,HeartY,,,,,,,,
0,GasterBlaster,0,0,0,$HeartX,226,90,0,0.15,,
1.5,GetHeartPos,HeartX,HeartY,,,,,,,,
0,GasterBlaster,0,0,0,$HeartX,226,90,0,0.15,,
